Budget,Climate,Duration,Activity,Season,Region,Destination
Low,Cold,5,Hiking,Winter,International,Peru
Medium,Warm,4,Desert Safari,Winter,International,Dubai
Low,Cool,6,Hiking,Spring,International,Norway
Medium,Cool,13,Mountain Climbing,Summer,International,Patagonia
Low,Warm,3,Desert Safari,Autumn,Domestic,Rishikesh
High,Warm,7,Wildlife,Monsoon,International,Madagascar
Medium,Mild,6,Cruise,Spring,International,Mediterranean
High,Warm,8,Cruise,Summer,International,Alaska
Medium,Cool,7,Hiking,Autumn,International,Norway
Medium,Mild,6,Food Tour,Autumn,Domestic,Shimla
Medium,Cold,13,Mountain Climbing,Spring,International,Patagonia
Low,Cool,8,Hiking,Spring,International,New Zealand
High,Cool,13,Mountain Climbing,Summer,International,Patagonia
Medium,Warm,5,Historical,Autumn,International,Kyoto
High,Sunny,10,Cruise,Spring,International,Mediterranean
Medium,Warm,7,Island Hopping,Spring,Domestic,Kashmir Valley
Low,Mild,2,Historical,Autumn,International,Rome
High,Warm,10,Jungle Trekking,Dry,Domestic,Andaman Islands
Low,Temperate,2,City Break,Summer,Domestic,Sundarbans
Low,Warm,2,City Break,Summer,International,London
Low,Rainy,3,Jungle Trekking,Dry,Domestic,Mysore
Medium,Rainy,9,Jungle Trekking,Winter,International,Borneo
Low,Temperate,7,Food Tour,Summer,International,Spain
Low,Warm,8,Jungle Trekking,Winter,International,Congo
Low,Cool,3,Hiking,Spring,International,Switzerland
Low,Warm,8,Jungle Trekking,Dry,Domestic,Agra
Medium,Warm,2,Desert Safari,Winter,Domestic,Rajasthan Forts
Medium,Warm,6,Jungle Trekking,Winter,Domestic,Rishikesh
Low,Mild,2,City Break,Autumn,Domestic,Andaman Islands
High,Temperate,8,Food Tour,Autumn,Domestic,Andaman Islands
High,Warm,9,Cruise,Summer,Domestic,Rajasthan Forts
High,Cool,10,Mountain Climbing,Summer,International,Kilimanjaro
Low,Temperate,6,Historical,Autumn,International,Machu Picchu
High,Mild,5,City Break,Autumn,International,Prague
High,Warm,4,Historical,Spring,Domestic,Darjeeling Hills
Low,Warm,4,Food Tour,Summer,International,Mexico
Medium,Temperate,2,Historical,Spring,International,Kyoto
High,Cool,5,City Break,Summer,International,London
Low,Cold,4,Skiing,Winter,Domestic,Darjeeling Hills
Low,Mild,5,Food Tour,Summer,Domestic,Rishikesh
Low,Cool,7,Hiking,Spring,International,New Zealand
High,Warm,3,City Break,Summer,International,Prague
High,Warm,9,Cruise,Summer,International,Mediterranean
High,Cool,8,Hiking,Spring,International,Norway
Medium,Rainy,6,Jungle Trekking,Dry,International,Manu National Park
Low,Warm,6,Wildlife,Monsoon,International,Galapagos
Low,Hot,2,Desert Safari,Winter,International,Morocco
Low,Sunny,7,Cruise,Spring,International,Mediterranean
Low,Hot,6,Wildlife,Monsoon,Domestic,Mysore
Low,Warm,7,Jungle Trekking,Winter,Domestic,Jaipur
High,Cool,11,Mountain Climbing,Summer,Domestic,Rajasthan Forts
Medium,Cold,8,Hiking,Winter,International,Switzerland
Low,Warm,3,Wildlife,Spring,Domestic,Kashmir Valley
Medium,Mild,3,City Break,Summer,International,London
Low,Sunny,2,Beach,Summer,International,Gold Coast
High,Snowy,7,Skiing,Winter,International,Japan
High,Mild,4,Food Tour,Summer,International,Vietnam
High,Mild,11,Cruise,Summer,Domestic,Mysore
High,Temperate,5,Wildlife,Spring,International,Serengeti
High,Mild,10,Hiking,Spring,International,Austrian Alps
Medium,Rainy,8,Jungle Trekking,Winter,International,Manu National Park
Medium,Mild,7,Food Tour,Autumn,Domestic,Sundarbans
High,Sunny,9,Cruise,Summer,Domestic,Darjeeling Hills
Low,Temperate,3,City Break,Spring,Domestic,Darjeeling Hills
High,Warm,11,Cruise,Spring,Domestic,Jaipur
High,Warm,3,Desert Safari,Winter,International,Egypt
Medium,Mild,5,Food Tour,Autumn,International,Italy
Low,Cool,4,Hiking,Autumn,International,Norway
Low,Cool,5,Hiking,Spring,International,Peru
Medium,Temperate,5,Food Tour,Spring,International,Thailand
Low,Temperate,5,Food Tour,Spring,Domestic,Kashmir Valley
High,Snowy,6,Skiing,Winter,International,Japan
Low,Temperate,5,Hiking,Autumn,International,Peru
Low,Cold,6,Skiing,Winter,International,Sweden
High,Snowy,10,Skiing,Winter,International,France
Low,Sunny,5,Beach,Summer,International,Phuket
High,Cool,6,Hiking,Autumn,International,Norway
Medium,Snowy,7,Skiing,Winter,International,France
High,Warm,6,Island Hopping,Spring,International,Philippines
Medium,Cool,3,Historical,Spring,International,Kyoto
Medium,Temperate,4,Hiking,Winter,International,Norway
High,Hot,9,Island Hopping,Summer,Domestic,Goa Beaches
Low,Temperate,6,Wildlife,Winter,International,Amazon
High,Cold,10,Skiing,Winter,International,Canada
High,Cool,3,Historical,Spring,International,Rome
High,Cold,9,Skiing,Winter,Domestic,Goa Beaches
Low,Hot,5,Island Hopping,Summer,Domestic,Sundarbans
High,Warm,6,Desert Safari,Winter,International,Dubai
Medium,Warm,8,Island Hopping,Summer,International,Fiji
High,Mild,7,Cruise,Summer,Domestic,Darjeeling Hills
Low,Warm,4,City Break,Summer,International,Tokyo
Low,Cold,9,Mountain Climbing,Spring,International,Everest Base Camp
Medium,Warm,8,Food Tour,Spring,International,Thailand
Low,Rainy,2,Wildlife,Winter,International,Costa Rica
Low,Mild,2,City Break,Spring,International,New York
High,Cold,9,Mountain Climbing,Spring,International,Kilimanjaro
Low,Warm,4,Food Tour,Autumn,International,Italy
Low,Cold,11,Mountain Climbing,Summer,International,Mont Blanc
High,Warm,4,Island Hopping,Summer,International,Fiji
Low,Mild,10,Cruise,Spring,Domestic,Ladakh
Low,Warm,2,Island Hopping,Summer,Domestic,Shimla
High,Warm,2,Desert Safari,Winter,International,Dubai
Medium,Sunny,6,Beach,Spring,Domestic,Rajasthan Forts
Medium,Cool,4,City Break,Spring,International,London
Medium,Mild,7,Historical,Autumn,International,Athens
Low,Warm,3,City Break,Autumn,International,Tokyo
Low,Warm,6,Jungle Trekking,Winter,International,Congo
High,Warm,3,City Break,Autumn,International,Tokyo
Medium,Mild,5,Hiking,Winter,International,New Zealand
Medium,Warm,8,Island Hopping,Summer,Domestic,Shimla
Low,Temperate,2,Wildlife,Monsoon,International,Serengeti
High,Warm,11,Cruise,Summer,International,Alaska
High,Temperate,8,Wildlife,Winter,International,Costa Rica
Low,Cold,5,Skiing,Winter,International,Japan
High,Cold,7,Skiing,Winter,International,Japan
High,Hot,6,Desert Safari,Autumn,International,Egypt
Medium,Cool,5,Hiking,Winter,Domestic,Andaman Islands
Medium,Snowy,9,Skiing,Winter,International,France
Medium,Warm,6,Jungle Trekking,Dry,International,Congo
Medium,Warm,2,Desert Safari,Winter,Domestic,Rajasthan Forts
Low,Cold,6,Skiing,Winter,Domestic,Darjeeling Hills
High,Rainy,8,Wildlife,Winter,International,Costa Rica
High,Temperate,4,Food Tour,Spring,International,Italy
Medium,Sunny,6,Cruise,Spring,International,Caribbean
Medium,Temperate,2,City Break,Summer,Domestic,Darjeeling Hills
Medium,Mild,5,Food Tour,Summer,Domestic,Jaipur
Low,Sunny,2,Island Hopping,Summer,International,Croatia
High,Rainy,10,Jungle Trekking,Dry,Domestic,Kerala Backwaters
Medium,Warm,7,Wildlife,Monsoon,International,Galapagos
Low,Hot,2,Desert Safari,Winter,Domestic,Kashmir Valley
High,Sunny,10,Cruise,Spring,International,Greek Islands
Medium,Mild,7,Cruise,Summer,Domestic,Cox’s Bazar
Medium,Warm,3,Desert Safari,Winter,International,Egypt
High,Cold,8,Skiing,Winter,Domestic,Cox’s Bazar
High,Temperate,10,Hiking,Spring,Domestic,Mysore
Medium,Cool,8,Hiking,Winter,International,Nepal
Medium,Temperate,7,Food Tour,Summer,International,Mexico
Medium,Hot,8,Jungle Trekking,Winter,International,Costa Rica
Medium,Sunny,7,Island Hopping,Spring,International,Fiji
Medium,Mild,6,City Break,Spring,Domestic,Mysore
Low,Warm,3,Historical,Autumn,International,Athens
Medium,Sunny,9,Cruise,Summer,Domestic,Agra
Low,Hot,3,Desert Safari,Autumn,Domestic,Kerala Backwaters
Low,Warm,3,Desert Safari,Winter,International,Dubai
Medium,Cool,8,Hiking,Winter,International,New Zealand
High,Sunny,11,Cruise,Summer,International,Alaska
High,Cool,8,Hiking,Winter,International,New Zealand
Medium,Temperate,7,Food Tour,Spring,International,Thailand
Medium,Snowy,5,Skiing,Winter,Domestic,Agra
Low,Warm,6,Historical,Autumn,International,Athens
Low,Rainy,7,Jungle Trekking,Dry,International,Congo
Low,Cool,11,Mountain Climbing,Spring,Domestic,Jaipur
High,Mild,5,Hiking,Spring,International,Austrian Alps
High,Warm,8,Food Tour,Autumn,Domestic,Rajasthan Forts
Medium,Mild,10,Cruise,Summer,International,Caribbean
Medium,Cold,9,Skiing,Winter,International,Canada
Medium,Cool,10,Mountain Climbing,Summer,International,Patagonia
Medium,Warm,4,Jungle Trekking,Dry,Domestic,Andaman Islands
Medium,Cool,5,City Break,Spring,Domestic,Andaman Islands
Medium,Warm,4,Wildlife,Monsoon,International,Serengeti
Medium,Mild,6,Historical,Spring,Domestic,Agra
Low,Warm,6,Wildlife,Spring,International,Galapagos
Medium,Mild,10,Cruise,Spring,Domestic,Rajasthan Forts
Medium,Mild,4,City Break,Summer,International,Barcelona
Low,Warm,4,Historical,Spring,International,Rome
Medium,Hot,4,Island Hopping,Spring,Domestic,Sundarbans
High,Snowy,6,Skiing,Winter,Domestic,Agra
Medium,Cool,10,Mountain Climbing,Summer,Domestic,Kashmir Valley
High,Cold,8,Skiing,Winter,Domestic,Jaipur
Low,Mild,2,Historical,Spring,Domestic,Agra
Low,Mild,5,Historical,Autumn,Domestic,Shimla
Medium,Mild,2,City Break,Autumn,Domestic,Shimla
Medium,Temperate,6,Hiking,Autumn,International,Austrian Alps
High,Hot,7,Island Hopping,Spring,Domestic,Mysore
Medium,Mild,7,Hiking,Winter,International,Nepal
High,Rainy,6,Jungle Trekking,Dry,International,Costa Rica
Low,Rainy,5,Jungle Trekking,Dry,Domestic,Ladakh
Low,Sunny,5,Beach,Summer,International,Bali
High,Temperate,6,Wildlife,Monsoon,Domestic,Ladakh
Low,Cool,11,Mountain Climbing,Summer,Domestic,Sundarbans
Low,Warm,3,Food Tour,Summer,International,Mexico
High,Temperate,5,Historical,Autumn,International,Cairo
Low,Mild,5,Food Tour,Spring,International,Mexico
Medium,Hot,3,Desert Safari,Winter,International,Namibia
High,Temperate,6,Food Tour,Autumn,Domestic,Mysore
High,Cold,8,Skiing,Winter,International,Colorado
Low,Temperate,6,Hiking,Winter,Domestic,Darjeeling Hills
Low,Warm,5,Historical,Autumn,International,Cairo
Medium,Mild,6,Food Tour,Summer,Domestic,Sundarbans
Low,Warm,6,Historical,Autumn,International,Istanbul
Low,Warm,2,Food Tour,Autumn,Domestic,Shimla
Low,Warm,5,Jungle Trekking,Dry,International,Borneo
Medium,Warm,7,Island Hopping,Spring,International,Croatia
Medium,Mild,6,Hiking,Autumn,International,Austrian Alps
High,Hot,6,Island Hopping,Summer,International,Fiji
Medium,Cool,7,Historical,Autumn,International,Kyoto
Medium,Cool,7,Historical,Autumn,International,Istanbul
High,Snowy,6,Skiing,Winter,International,Swiss Alps
High,Sunny,7,Cruise,Spring,Domestic,Sundarbans
Low,Hot,3,Desert Safari,Winter,Domestic,Kerala Backwaters
Low,Hot,2,Desert Safari,Winter,Domestic,Kashmir Valley
High,Cool,6,City Break,Summer,International,Prague
Low,Hot,4,Jungle Trekking,Winter,Domestic,Jaipur
High,Cool,4,Historical,Autumn,International,Cairo
Low,Warm,6,Jungle Trekking,Dry,International,Congo
Low,Rainy,4,Wildlife,Monsoon,International,Kenya
Low,Rainy,3,Wildlife,Winter,Domestic,Sundarbans
High,Snowy,6,Skiing,Winter,Domestic,Darjeeling Hills
Medium,Warm,7,Historical,Autumn,International,Machu Picchu
Medium,Mild,5,Historical,Autumn,Domestic,Mysore
High,Warm,6,Historical,Autumn,International,Cairo
High,Sunny,9,Cruise,Spring,Domestic,Shimla
Medium,Cool,2,City Break,Spring,International,Tokyo
High,Warm,5,Island Hopping,Spring,International,Philippines
Medium,Sunny,8,Island Hopping,Summer,International,Greece
High,Warm,6,Food Tour,Autumn,International,Vietnam
High,Warm,4,Beach,Summer,Domestic,Cox’s Bazar
High,Temperate,8,Historical,Spring,Domestic,Ladakh
Medium,Mild,9,Hiking,Winter,International,Nepal
Low,Cool,4,Historical,Spring,International,Cairo
Medium,Cool,5,City Break,Summer,International,Tokyo
Low,Cold,5,Hiking,Autumn,International,Peru
Medium,Temperate,7,Food Tour,Summer,Domestic,Kashmir Valley
Low,Cool,5,Historical,Autumn,International,Kyoto
Medium,Cool,9,Mountain Climbing,Summer,International,Everest Base Camp
Medium,Sunny,6,Beach,Summer,Domestic,Shimla
Low,Temperate,6,Food Tour,Spring,International,Thailand
Medium,Cool,8,Mountain Climbing,Spring,International,Everest Base Camp
Medium,Hot,7,Jungle Trekking,Winter,International,Borneo
Low,Cold,9,Skiing,Winter,International,Canada
Low,Cool,5,Hiking,Autumn,International,Nepal
Medium,Hot,6,Jungle Trekking,Winter,International,Borneo
Medium,Hot,4,Island Hopping,Spring,International,Greece
Low,Warm,7,Island Hopping,Summer,Domestic,Jaipur
High,Hot,4,Wildlife,Monsoon,Domestic,Varanasi
Medium,Temperate,6,Food Tour,Spring,Domestic,Kashmir Valley
Medium,Cool,4,Historical,Autumn,International,Athens
Medium,Temperate,5,City Break,Summer,International,Paris
Medium,Hot,2,Desert Safari,Winter,Domestic,Rishikesh
Low,Cool,10,Mountain Climbing,Spring,Domestic,Shimla
High,Hot,4,Island Hopping,Spring,International,Croatia
Low,Temperate,2,Food Tour,Spring,International,Spain
High,Rainy,5,Wildlife,Winter,International,Amazon
Medium,Cold,8,Skiing,Winter,International,Swiss Alps
High,Warm,4,Island Hopping,Spring,International,Philippines
Medium,Warm,4,Desert Safari,Winter,International,Namibia
Low,Warm,2,City Break,Autumn,International,New York
Low,Cold,5,Hiking,Autumn,International,Austrian Alps
Low,Cool,10,Mountain Climbing,Spring,International,Kilimanjaro
High,Mild,6,City Break,Autumn,International,Paris
High,Snowy,11,Skiing,Winter,International,Japan
High,Mild,5,Food Tour,Autumn,Domestic,Kerala Backwaters
Medium,Warm,3,Desert Safari,Autumn,International,Namibia
Low,Snowy,4,Skiing,Winter,International,Japan
High,Cold,8,Skiing,Winter,Domestic,Agra
Medium,Temperate,4,Wildlife,Winter,International,Amazon
Medium,Cool,9,Mountain Climbing,Summer,International,Mont Blanc
Medium,Sunny,2,Beach,Summer,International,Bali
Medium,Cold,9,Skiing,Winter,Domestic,Varanasi
High,Warm,7,Island Hopping,Summer,International,Croatia
Low,Mild,6,Food Tour,Spring,International,Mexico
High,Cold,10,Skiing,Winter,International,Canada
High,Warm,12,Cruise,Spring,Domestic,Kerala Backwaters
Medium,Mild,3,Historical,Autumn,International,Athens
Low,Hot,2,Beach,Spring,Domestic,Darjeeling Hills
Medium,Warm,3,Island Hopping,Summer,International,Philippines
Low,Cold,6,Hiking,Autumn,International,Austrian Alps
High,Warm,7,City Break,Spring,International,Tokyo
Medium,Temperate,5,Wildlife,Spring,International,Costa Rica
High,Mild,7,Hiking,Autumn,Domestic,Kashmir Valley
High,Temperate,5,Wildlife,Spring,Domestic,Agra
High,Sunny,7,Beach,Spring,Domestic,Rajasthan Forts
Medium,Mild,3,Food Tour,Autumn,International,Spain
Low,Cool,8,Mountain Climbing,Summer,International,Mont Blanc
Low,Hot,2,Desert Safari,Winter,International,Egypt
Low,Mild,4,City Break,Autumn,International,Barcelona
Low,Warm,4,Desert Safari,Autumn,International,Egypt
Medium,Warm,2,Desert Safari,Winter,International,Egypt
Medium,Temperate,6,Historical,Autumn,International,Cairo
High,Sunny,11,Cruise,Spring,International,Caribbean
Medium,Cold,12,Mountain Climbing,Spring,International,Everest Base Camp
Low,Cool,3,Hiking,Winter,Domestic,Kerala Backwaters
Low,Mild,4,Historical,Spring,International,Cairo
Medium,Sunny,7,Beach,Spring,International,Maldives
Low,Mild,4,Food Tour,Spring,International,Italy
Medium,Warm,8,Island Hopping,Spring,Domestic,Kashmir Valley
Medium,Warm,6,Food Tour,Spring,International,Spain
Low,Temperate,4,City Break,Summer,International,Tokyo
High,Temperate,3,City Break,Autumn,International,Paris
Low,Rainy,8,Jungle Trekking,Winter,International,Costa Rica
Medium,Sunny,2,Beach,Summer,International,Maldives
Medium,Sunny,8,Cruise,Summer,International,Mediterranean
Medium,Hot,6,Jungle Trekking,Winter,International,Borneo
Medium,Hot,6,Beach,Spring,International,Bali
Medium,Sunny,6,Cruise,Spring,International,Greek Islands
Medium,Sunny,5,Island Hopping,Spring,International,Fiji
Low,Warm,5,Beach,Summer,International,Bali
High,Mild,8,Food Tour,Spring,International,Thailand
Low,Temperate,4,Hiking,Spring,International,New Zealand
Low,Cool,4,City Break,Spring,International,New York
High,Sunny,8,Island Hopping,Summer,Domestic,Jaipur
Medium,Warm,5,City Break,Summer,International,Paris
Low,Cold,7,Mountain Climbing,Summer,International,Everest Base Camp
Medium,Cool,12,Mountain Climbing,Summer,International,Everest Base Camp
Medium,Hot,6,Jungle Trekking,Dry,International,Manu National Park
Medium,Cool,12,Mountain Climbing,Summer,International,Kilimanjaro
Low,Temperate,3,Wildlife,Winter,International,Amazon
Medium,Cool,8,Mountain Climbing,Summer,International,Kilimanjaro
High,Temperate,8,Hiking,Autumn,Domestic,Jaipur
Medium,Cold,8,Mountain Climbing,Spring,Domestic,Cox’s Bazar
Low,Warm,3,Jungle Trekking,Winter,International,Borneo
Medium,Cool,10,Mountain Climbing,Spring,International,Everest Base Camp
Low,Warm,4,Food Tour,Autumn,International,Italy
High,Mild,9,Cruise,Summer,International,Alaska
Medium,Mild,3,Historical,Spring,Domestic,Kerala Backwaters
Medium,Warm,7,Wildlife,Winter,International,Madagascar
Medium,Temperate,2,Historical,Autumn,International,Cairo
Medium,Hot,4,Jungle Trekking,Winter,Domestic,Varanasi
Medium,Hot,2,Desert Safari,Autumn,International,Egypt
Medium,Mild,3,City Break,Autumn,International,Prague
High,Warm,8,Cruise,Spring,International,Alaska
Low,Mild,2,Historical,Autumn,Domestic,Mysore
High,Mild,7,Hiking,Autumn,Domestic,Kashmir Valley
Medium,Cool,9,Hiking,Winter,International,Peru
Low,Temperate,2,Historical,Autumn,International,Rome
Low,Cold,11,Mountain Climbing,Spring,International,Patagonia
Low,Sunny,2,Beach,Summer,International,Gold Coast
High,Hot,9,Island Hopping,Summer,Domestic,Varanasi
Medium,Temperate,7,Wildlife,Winter,International,Galapagos
Medium,Hot,4,Beach,Summer,International,Cancun
Medium,Temperate,7,Wildlife,Monsoon,Domestic,Kashmir Valley
High,Warm,3,Desert Safari,Autumn,International,Namibia
Medium,Cool,11,Mountain Climbing,Spring,International,Patagonia
Low,Temperate,5,Wildlife,Spring,Domestic,Mysore
Medium,Temperate,7,Wildlife,Spring,International,Madagascar
Low,Mild,6,Hiking,Spring,Domestic,Shimla
High,Cold,10,Skiing,Winter,International,Sweden
High,Cool,14,Mountain Climbing,Spring,International,Everest Base Camp
Medium,Cold,8,Skiing,Winter,International,Japan
High,Warm,6,Island Hopping,Spring,International,Croatia
Low,Cool,3,Historical,Spring,International,Athens
Low,Hot,8,Jungle Trekking,Winter,International,Congo
Low,Warm,7,Food Tour,Spring,International,Thailand
High,Snowy,11,Skiing,Winter,Domestic,Ladakh
High,Warm,12,Cruise,Spring,International,Mediterranean
Medium,Warm,7,Wildlife,Spring,International,Kenya
High,Warm,5,Wildlife,Winter,International,Kenya
Low,Temperate,3,Hiking,Winter,International,Switzerland
Low,Warm,4,Desert Safari,Winter,International,Morocco
Medium,Cold,9,Mountain Climbing,Spring,International,Everest Base Camp
Medium,Warm,7,Island Hopping,Spring,International,Croatia
Low,Mild,3,Hiking,Autumn,International,Austrian Alps
High,Cold,9,Skiing,Winter,International,Colorado
High,Warm,4,Food Tour,Spring,International,Vietnam
Low,Warm,4,Jungle Trekking,Dry,Domestic,Mysore
Medium,Cool,13,Mountain Climbing,Spring,International,Patagonia
Medium,Hot,3,Beach,Summer,Domestic,Agra
Medium,Temperate,2,Historical,Autumn,International,Cairo
Low,Mild,4,City Break,Spring,International,Paris
